Project,Promoter Name,Project Type,Project Start Date,Date of Completion,Certificate No,Certificate Date,Total,Sold,Status,District,Village,Taluk
DREAMFLOWER SANTA MARIA,DREAM FLOWER HOUSING PROJECTS PVT LTD,Residential (Apartment),2019-07-05,2022-02-28,K-RERA/PRJ/024/2020,2021-04-17,24,24,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
DREAMFLOWER BELCANTO,DREAM FLOWER HOUSING PROJECTS PVT LTD,Residential (Apartment),2019-08-19,2022-03-30,K-RERA/PRJ/014/2020,2021-04-15,16,16,Completed,Ernakulam,POONITHURA,Kanayannur
PRESTIGE PANORAMA,THOMSUN REALTORS PRIVATE LIMITED,Residential (Apartment),2018-10-13,2025-06-30,K-RERA/PRJ/227/2020,2021-09-01,136,90,Inprogress,Ernakulam,MARADU,Kanayannur
SFS GRANDVILLE,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,Residential (Apartment),2017-01-10,2020-09-16,K-RERA/PRJ/343/2020,2021-07-28,52,52,Completed,Ernakulam,VAZHAKKALA,Kanayannur
SOBHA METROPOLIS-PHASE 1,M/S SOBHA HIGHRISE VENTURES PRIVATE LIMITED,Mixed (Commercial & Residential),2021-06-01,2026-12-31,K-RERA/PRJ/TSR/002/2021,2021-03-23,252,252,Inprogress,Thrissur,OLLUR,Thrissur
SKYLINE BLUE VISTA,M/s Skyline Builders,Residential (Apartment),2017-12-15,2023-05-30,K-RERA/PRJ/175/2020,2021-03-27,96,92,Completed,Kozhikode,PUTHIYANGADI,Kozhikode
Dasco Royal Valley Phase 2,Mahesh Ayanimoodu Vijayan,Villas (Plots & Buildings),2021-06-01,2024-05-05,K-RERA/PRJ/TVM/017/2021,2021-06-02,11,6,Completed,Thiruvananthapuram,VEMBAYAM,Nedumangad
Kalyan Credenz,Kalyan Developers,Residential (Apartment),2019-12-31,2023-06-30,K-RERA/PRJ/154/2020,2021-07-19,24,24,Completed,Ernakulam,CHERANALLUR,Kanayannur
PB ROYAL NEST,PB HOMES PVT LTD,Residential (Apartment),2020-12-01,2023-06-30,K-RERA/PRJ/TSR/001/2021,2021-03-23,9,8,Completed,Thrissur,PUZHAKKAL,Thrissur
Kalyan Marvella,Kalyan Developers,Residential (Apartment),2017-04-30,2021-09-30,K-RERA/PRJ/155/2020,2021-07-19,34,34,Completed,Ernakulam,ERNAKULAM,Kanayannur
Kalyan Sapphire,Kalyan Developers,Residential (Apartment),2016-07-31,2021-04-15,K-RERA/PRJ/250/2020,2021-07-15,56,56,Completed,Thiruvananthapuram,KUDAPPANAKUNNU,THIRUVANANTHAPRUAM
ANIMANGALAM APARTMENT,IJKGOKULAM CONSTRUCTION,Residential (Apartment),2019-04-05,2023-12-30,K-RERA/PRJ/075/2021,2021-07-05,38,31,Inprogress,Thrissur,MANAVALASSERY,MUKUNDAPURAM
SKYLINE PIXEL,M/s Skyline Builders,Residential (Apartment),2020-11-01,2024-08-01,K-RERA/PRJ/182/2020,2021-05-04,77,77,Completed,Ernakulam,KAKKANAD,Kanayannur
LOTUS RUGMINI KESHAVAM,LOTUS PROPERTIES,Residential (Apartment),2017-02-06,2021-03-25,K-RERA/PRJ/120/2020,2021-06-17,48,46,Completed,Ernakulam,POONITHURA,Kanayannur
CONFIDENT AQUILA Block 1 and ARINA Block 2,Confident Projects Residential,Residential (Apartment),2017-08-16,2023-10-16,K-RERA/PRJ/100/2020,2021-07-05,128,111,Completed,Thiruvananthapuram,CHERUVAKKAL,THIRUVANANTHAPRUAM
ECOPARADISE,PAUL ALUKKAS DEVELOPERS PRIVATE LIMITED,Residential (Apartment),2013-10-04,2021-09-30,K-RERA/PRJ/089/2021,2021-04-17,49,17,Completed,Ernakulam,POONITHURA,Kanayannur
CONFIDENT BLUEBERRY,Confident Projects Residential,Mixed (Commercial & Residential),2019-08-15,2025-02-15,K-RERA/PRJ/284/2020,2021-06-29,60,36,Completed,Kottayam,PUTHUPPALLY KOTTAYAM,Kottayam
SILVER SPRINGS,PVS Builders & Developers,Residential (Apartment),2017-05-26,2021-06-30,K-RERA/PRJ/086/2020,2021-05-31,62,36,Completed,Kozhikode,PERUMANNA,Kozhikode
QUEENS COURTYARD,QUEENS HABITATS PVT LTD,Residential (Apartment),2018-06-12,2024-06-30,K-RERA/PRJ/129/2020,2021-03-30,64,24,Inprogress,Kozhikode,KUTTIKKATTOOR,Kozhikode
CORDON VISTA,CORDON CONSTRUCTORS & REALTORS Pvt Ltd,Residential (Apartment),2017-08-02,2020-12-30,K-RERA/PRJ/052/2020,2021-07-15,16,12,Completed,Thiruvananthapuram,THYCAUD,THIRUVANANTHAPRUAM
Asset Alpine Oaks,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2018-02-23,2023-12-30,K-RERA/PRJ/062/2020,2021-05-26,62,62,Completed,Ernakulam,VAZHAKKALA,Kanayannur
Kalyan Gateway,Kalyan Developers,Residential (Apartment),2019-08-31,2025-09-30,K-RERA/PRJ/055/2020,2021-07-27,90,65,Completed,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
MELONWOOD WAVES PHASE 1,Melonwood Homes Private Limited,Villas (Plots & Buildings),2016-09-29,2024-04-30,K-RERA/PRJ/167/2021,2021-07-26,19,15,Completed,Ernakulam,VAZHAKKALA,Kanayannur
Marina One Phase 3,Sobha Limited,Residential (Apartment),2016-03-15,2027-06-30,K-RERA/PRJ/253/2020,2021-09-01,181,177,Inprogress,Ernakulam,ERNAKULAM,Kanayannur
NATIONAL KINGDOM,SUNNY APARTMENTS PVT LTD,Residential (Apartment),2018-03-23,2025-06-30,K-RERA/PRJ/026/2021,2021-06-28,80,66,Completed,Ernakulam,POONITHURA,Kanayannur
Indraneelam DEODATE,Indraneelam Builders,Residential (Apartment),2021-03-01,2024-10-01,K-RERA/PRJ/244/2020,2021-07-26,14,14,Completed,Thrissur,CHAVAKKAD,Chavakkad
SHANOOR NALANDA,SHANOOR PROJECTS AND REALTORS PVT LTD,Residential (Apartment),2018-01-01,2021-06-30,K-RERA/PRJ/167/2020,2021-03-30,27,27,Completed,Thiruvananthapuram,CHERUVAKKAL,THIRUVANANTHAPRUAM
GRANDIOSE,Heather Infrastructure Private Limited,Residential (Apartment),2018-12-05,2024-02-14,K-RERA/PRJ/204/2020,2021-07-05,53,48,Completed,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
CONFIDENT BILBERRY,Confident Projects Residential,Residential (Apartment),2017-12-15,2023-04-15,K-RERA/PRJ/108/2020,2021-07-15,136,135,Completed,Thiruvananthapuram,PALLIPURAM TRIVANDRUM,THIRUVANANTHAPRUAM
Kent Palm Grove Apartments Block II,Kent Constructions Pvt Ltd,Residential (Apartment),2018-12-27,2022-12-27,K-RERA/PRJ/118/2020,2021-04-21,90,40,Completed,Ernakulam,POONITHURA,Kanayannur
TRINITY GREEN ARK,TRINITY ARCADE PVT LTD,Residential (Apartment),2019-06-10,2023-06-30,K-RERA/PRJ/202/2020,2021-04-30,23,23,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
TRINITY ACCORD,TRINITY ARCADE PVT LTD,Residential (Apartment),2021-10-01,2025-06-30,K-RERA/PRJ/201/2020,2021-04-30,59,44,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
CONFIDENT ZENITH,Confident Projects Residential,Residential (Apartment),2019-11-01,2025-03-01,K-RERA/PRJ/106/2020,2021-06-29,85,85,Completed,Thiruvananthapuram,KAZHAKOOTTAM,THIRUVANANTHAPRUAM
SHANOOR METRO SQUARE,SHANOOR PROJECTS,Residential (Apartment),2019-01-05,2023-06-30,K-RERA/PRJ/189/2020,2021-04-21,59,58,Completed,Thiruvananthapuram,PATTOM,THIRUVANANTHAPRUAM
CORDIAL DHANUSS,CORDIAL FOUNDATION PVT LTD,Residential (Apartment),2017-07-16,2021-03-30,K-RERA/PRJ/149/2020,2021-04-21,48,35,Completed,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
SKYLINE ARISTOCRAT,M/s Skyline Builders,Residential (Apartment),2018-01-15,2021-12-28,K-RERA/PRJ/173/2020,2021-04-15,18,13,Completed,Ernakulam,ERNAKULAM,Kanayannur
ASTEN CAMPUS COURT,ASTEN REALTORS PRIVATE LIMITED,Residential (Apartment),2012-02-01,2023-03-10,K-RERA/PRJ/321/2020,2021-04-21,368,0,Inprogress,Ernakulam,KAKKANAD,Kanayannur
CONFIDENT MAPLE,Confident Projects Residential,Residential (Apartment),2020-10-15,2024-10-15,K-RERA/PRJ/224/2020,2021-04-27,90,90,Completed,Thrissur,OLLUR,Thrissur
CONFIDENT GREENFIELD,Confident Projects Residential,Residential (Apartment),2019-07-12,2025-01-10,K-RERA/PRJ/101/2020,2021-04-30,90,80,Completed,Thiruvananthapuram,PALLIPURAM TRIVANDRUM,THIRUVANANTHAPRUAM
GREHA NAKSHATRA,GREHA HOMES PVT LTD,Residential (Apartment),2021-04-01,2024-04-30,K-RERA/PRJ/ERN/007/2021,2021-03-26,26,0,Completed,Ernakulam,ELAMKULAM,Kanayannur
CONFIDENT PRIME III,Confident Projects Residential,Residential (Apartment),2018-06-30,2023-12-31,K-RERA/PRJ/174/2020,2021-05-21,103,94,Completed,Thiruvananthapuram,KAZHAKOOTTAM,THIRUVANANTHAPRUAM
SOBHA SILVER ESTATE,SOBHA CONTRACTING PRIVATE LIMITED,Villas (Plots & Buildings),2018-04-01,2025-12-31,K-RERA/PRJ/186/2020,2021-03-27,57,40,Completed,Thrissur,POTTORE,Thrissur
CONFIDENT DAFFODILS BLOCK A and B,Confident Projects Residential,Residential (Apartment),2017-08-01,2021-05-01,K-RERA/PRJ/107/2020,2021-06-30,136,136,Completed,Thiruvananthapuram,ULIYAZHATHURA,THIRUVANANTHAPRUAM
ATMOSPHERE,MERITRA HOMES PVT LTD,Villas (Plots & Buildings),2019-03-20,2025-03-31,K-RERA/PRJ/112/2020,2021-07-05,20,11,Completed,Ernakulam,KUMBALAM,Kanayannur
ASTEN NAUTICA,ASTEN REALTORS PRIVATE LIMITED,Residential (Apartment),2013-04-15,2025-12-30,K-RERA/PRJ/102/2021,2021-04-17,64,0,Inprogress,Ernakulam,KUMBALAM,Kanayannur
Magnum Opus,Space Developers,Residential (Apartment),2016-08-20,2021-12-20,K-RERA/PRJ/111/2020,2021-07-08,90,90,Completed,Kozhikode,KASABA,Kozhikode
SHANOOR AMAR VISTA,SHANOOR PROJECTS,Residential (Apartment),2020-02-20,2024-09-30,K-RERA/PRJ/279/2020,2021-03-30,72,71,Completed,Thiruvananthapuram,PANGAPARA,THIRUVANANTHAPRUAM
CONFIDENT CYGNUS,Confident Projects Residential,Residential (Apartment),2019-02-01,2023-12-01,K-RERA/PRJ/049/2020,2021-04-15,96,87,Completed,Kottayam,MUTTAMBALAM,Kottayam
ASSET LIMELIGHT,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2016-10-25,2023-10-30,K-RERA/PRJ/042/2020,2021-05-26,47,42,Completed,Ernakulam,EDAPPALLY NORTH,Kanayannur
CONFIDENT ASTER,Confident Projects Residential,Residential (Apartment),2017-07-15,2021-04-15,K-RERA/PRJ/312/2020,2021-07-26,75,75,Completed,Thrissur,OLLUR,Thrissur
ASSET SENATE,ASSET HOMES PRIVATE LIMITED,Mixed (Commercial & Residential),2017-10-13,2023-03-30,K-RERA/PRJ/105/2020,2021-06-30,76,74,Completed,Kannur,ELAYAVOOR,Kannur
ASSET RANGOLI,ASSET HOMES PRIVATE LIMITED,Mixed (Commercial & Residential),2017-03-25,2022-12-30,K-RERA/PRJ/095/2020,2021-06-30,61,61,Completed,Ernakulam,MARADU,Kanayannur
PRIMROSE,Future Foundations Pvt Ltd,Residential (Apartment),2019-03-01,2023-12-31,K-RERA/PRJ/083/2021,2021-07-05,10,6,Completed,Thiruvananthapuram,THYCAUD,THIRUVANANTHAPRUAM
ASSET HILLCREST VOLGA,ASSETINDIA INFRAPROJECTS PRIVATE LIMITED,Residential (Apartment),2014-09-23,2022-03-30,K-RERA/PRJ/193/2020,2021-06-28,60,60,Completed,Thiruvananthapuram,VATTIYOORKAVU,THIRUVANANTHAPRUAM
ASSET LEGACY,ASSETINDIA INFRAPROJECTS PRIVATE LIMITED,Residential (Apartment),2016-04-28,2021-06-30,K-RERA/PRJ/348/2020,2021-06-02,59,59,Completed,Thiruvananthapuram,PATTOM,THIRUVANANTHAPRUAM
ASSET TKM GRANDIOS SANFORD,ASSETINDIA INFRAPROJECTS PRIVATE LIMITED,Residential (Apartment),2015-08-12,2022-12-30,K-RERA/PRJ/103/2020,2021-06-30,61,59,Completed,Kollam,KOLLAM EAST,Kollam
ASSET EAST BROOK,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2018-01-01,2025-06-30,K-RERA/PRJ/197/2020,2021-07-05,36,27,Completed,Ernakulam,CHENGAMANAD,Aluva
ARCON CYBERCITY,ARCON HOME BUILDERS PRIVATE LIMITED,Residential (Apartment),2019-06-15,2024-06-30,K-RERA/PRJ/066/2020,2021-04-23,70,70,Completed,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
FINSYZ VACATION HOMES,FINSYZ VACATION HOMES LLP,Shops/Office Space (Commercial),2019-10-01,2022-12-01,K-RERA/PRJ/053/2020,2021-03-27,21,0,Completed,Ernakulam,NEDUMBASSERY,Aluva
Cordial Rise,Cordial Properties India Pvt Ltd,Residential (Apartment),2021-02-01,2025-03-31,K-RERA/PRJ/028/2021,2021-03-30,49,43,Completed,Thiruvananthapuram,KARAKULAM,Nedumangad
SHANOOR PALMS,SHANOOR PROJECTS AND REALTORS PVT LTD,Villas (Plots & Buildings),2021-01-01,2023-12-30,K-RERA/PRJ/093/2021,2021-04-21,19,19,Completed,Thiruvananthapuram,MENAMKULAM,THIRUVANANTHAPRUAM
ANTA - CAPITAL GREEN,ANTA BUILDERS & DEVELOPERS PVT LTD,Villas (Plots & Buildings),2019-01-01,2024-10-30,K-RERA/PRJ/248/2020,2021-07-15,38,38,Inprogress,Thiruvananthapuram,VEGANOOR,THIRUVANANTHAPRUAM
EMMAUS TOWER,BINOY  ABRAHAM,Residential (Apartment),2019-09-20,2024-06-30,K-RERA/PRJ/320/2020,2021-04-23,40,1,Completed,Ernakulam,KOTHAMANGALAM,Kothamangalam
50 CROSS ROADS,PVS Builders & Developers,Residential (Apartment),2016-08-17,2021-09-30,K-RERA/PRJ/119/2020,2021-07-05,46,25,Completed,Kozhikode,KASABA,Kozhikode
223ChurchStreet by Providence,Providence Lifespace Pvt Ltd,Mixed (Commercial & Residential),2017-07-04,2022-10-15,K-RERA/PRJ/206/2020,2021-04-23,25,25,Completed,Ernakulam,ANGAMALY,Aluva
SOBHA LAKE EDGE,SOBHA CITY,Residential (Apartment),2018-03-18,2025-12-31,K-RERA/PRJ/190/2020,2021-04-21,72,72,Completed,Thrissur,KUTTOOR THRISSUR,Thrissur
TRINITY NEW CASTLE,TRINITY ARCADE PVT LTD,Residential (Apartment),2018-10-15,2022-09-30,K-RERA/PRJ/088/2020,2021-05-04,40,35,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
NATIONAL TREEDOM PARK,NATIONAL BUILDERS,Residential (Apartment),2014-11-15,2020-12-19,K-RERA/PRJ/066/2021,2021-04-22,120,111,Completed,Ernakulam,NADAMA,Kanayannur
FORUS PARAMOUNT,FORUS INITIATIVES,Residential (Apartment),2018-02-01,2022-07-31,K-RERA/PRJ/124/2020,2021-06-07,22,22,Completed,Thrissur,CHEMBUKAVU,Thrissur
OMG VIVANTE VILLAS,OMG PROPERTIES PRIVATE LIMITED,Villas (Plots & Buildings),2019-09-25,2023-03-24,K-RERA/PRJ/184/2020,2021-04-26,0,0,Completed,Palakkad,MARUTHUROAD,Palakkad
NAVERA SIGNATURE,Navera Builders Private Limited,Residential (Apartment),2021-02-02,2025-06-30,K-RERA/PRJ/TSR/016/2021,2021-05-24,60,60,Completed,Thrissur,VIYYUR,Thrissur
SKYLINE POLARIS,M/s Skyline Builders,Residential (Apartment),2019-03-28,2024-01-31,K-RERA/PRJ/169/2020,2021-04-15,47,47,Completed,Ernakulam,POONITHURA,Kanayannur
SKYLINE EPIC,M/s Skyline Builders,Residential (Apartment),2018-05-28,2022-10-30,K-RERA/PRJ/172/2020,2021-04-15,29,28,Completed,Ernakulam,POONITHURA,Kanayannur
ASSET PKS HERITANCE,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2019-07-02,2025-05-31,K-RERA/PRJ/012/2020,2021-05-26,110,90,Completed,Kozhikode,KOTTOOLI,Kozhikode
ASSET GALLERIA,ASSET HOMES PRIVATE LIMITED,Mixed (Commercial & Residential),2018-01-09,2023-10-30,K-RERA/PRJ/081/2020,2021-06-30,45,45,Completed,Thrissur,THRISSUR,Thrissur
SILVER SPRINGS,T CUBE PROJECTS PVT LTD,Residential (Apartment),2019-09-01,2023-11-30,K-RERA/PRJ/067/2021,2021-03-27,23,14,Completed,Ernakulam,THIRUVANKULAM,Kanayannur
PVS EMERALD,KERALA TRANSPORT COMPANY,Residential (Apartment),2016-11-01,2021-10-30,K-RERA/PRJ/185/2020,2021-09-01,115,104,Completed,Kozhikode,VALAYANAD,Kozhikode
HIGHLINE PARK,Highline Builders and Developers,Residential (Apartment),2019-01-01,2022-12-31,K-RERA/PRJ/298/2020,2021-07-30,67,40,Completed,Kannur,Thiruvangad,Thalassery
NOEL TUNES,NOEL VILLAS AND APARTMENTS,Residential (Apartment),2018-12-26,2022-12-30,K-RERA/PRJ/096/2020,2021-07-10,68,43,Completed,Pathanamthitta,KUTTAPUZHA,Thiruvalla
ANTA - TROPICALIA,ANTA BUILDERS & DEVELOPERS PVT LTD,Villas (Plots & Buildings),2021-02-11,2023-09-30,K-RERA/PRJ/TVM/047/2021,2021-08-31,6,6,Inprogress,Thiruvananthapuram,VEGANOOR,THIRUVANANTHAPRUAM
SKYLINE OPUS,M/s Skyline Builders,Residential (Apartment),2017-12-01,2022-07-30,K-RERA/PRJ/171/2020,2021-04-15,53,50,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
ASSET PRECIOUS,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2016-09-05,2023-02-28,K-RERA/PRJ/030/2020,2021-06-30,70,70,Completed,Thrissur,NADATHARA,Thrissur
ASSET SUNNY DAYS,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2019-07-02,2024-01-30,K-RERA/PRJ/041/2020,2021-07-12,56,56,Completed,Thiruvananthapuram,KUDAPPANAKUNNU,THIRUVANANTHAPRUAM
THE LANTERN,Civil Service Officers Housing Co Operative Society Ltd,Residential (Apartment),2014-04-15,2022-12-31,K-RERA/PRJ/022/2021,2021-06-30,84,57,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
SKYLINE AVENUE SUITES,M/s Skyline Builders,Residential (Apartment),2018-11-08,2023-07-30,K-RERA/PRJ/168/2020,2021-03-30,75,55,Completed,Thrissur,CHIYYARAM,Thrissur
Urbanscape Dynasty,Urbanscape Properties LLP,Residential (Apartment),2018-10-20,2023-06-30,K-RERA/PRJ/110/2021,2021-08-24,54,54,Completed,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
Q3 LUXE VILLA PROJECT,QUE DEVELOPERS LLP,Plots,2020-09-25,2024-04-24,K-RERA/PRJ/329/2020,2021-07-08,,0,Inprogress,Kozhikode,OLAVANNA,Kozhikode
Urbanscape Glory,Urbanscape Properties LLP,Residential (Apartment),2018-01-18,2021-03-30,K-RERA/PRJ/063/2020,2021-08-11,31,31,Completed,Thiruvananthapuram,VANCHIYOOR,THIRUVANANTHAPRUAM
HEATHER GREENAGE,Heather Infrastructure Private Limited,Residential (Apartment),2017-07-11,2023-06-13,K-RERA/PRJ/051/2021,2021-09-07,22,21,Completed,Thiruvananthapuram,PEROORKADA,THIRUVANANTHAPRUAM
ASSET FORTUNA,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2019-12-15,2025-03-01,K-RERA/PRJ/002/2020,2021-05-31,60,53,Completed,Thrissur,VIYYUR,Thrissur
SKYLINE WINDMILL,M/s Skyline Builders,Residential (Apartment),2019-05-28,2024-07-30,K-RERA/PRJ/170/2020,2021-04-15,84,78,Completed,Pathanamthitta,THIRUVALLA,Thiruvalla
SKYLINE RANCH VILLAS-PHASE 2,M/s Skyline Builders,Villas (Plots & Buildings),2016-04-01,2023-06-30,K-RERA/PRJ/013/2021,2021-07-30,31,20,Completed,Ernakulam,THEKKUMBHAGOM KANAYANNUR,Kanayannur
SKY CITY VILLAS,INDUS GRATIA CREATIVE HOMES PVT LTD,Villas (Plots & Buildings),2021-04-05,2026-04-04,K-RERA/PRJ/ERN/011/2021,2021-05-05,20,32,Inprogress,Ernakulam,KUNNATHUNAD,Kunnathunad
MERIDIAN VERDE,GALAXY BUILDERS,Residential (Apartment),2017-06-01,2022-08-20,K-RERA/PRJ/156/2020,2021-04-27,52,52,Completed,Kozhikode,KASABA,Kozhikode
ASSET ENSIGN,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2017-08-30,2025-06-30,K-RERA/PRJ/128/2020,2021-06-30,50,42,Completed,Kozhikode,NELLIKODE,Kozhikode
ASSET SOVEREIGN,ASSET HOMES PRIVATE LIMITED,Mixed (Commercial & Residential),2018-03-05,2025-03-30,K-RERA/PRJ/196/2020,2021-06-30,51,36,Completed,Thiruvananthapuram,VANCHIYOOR,THIRUVANANTHAPRUAM
GARDENIA,Confident Projects Residential,Residential (Apartment),2017-08-17,2021-03-30,K-RERA/PRJ/094/2020,2021-08-11,56,56,Completed,Ernakulam,THRIKKAKARA NORTH,Kanayannur
"Good Earth Barefoot On the Hills -Town Houses ,Calicut",SYMBIOSIS PROPERTIESAND INFRASTRUCTURES INDIA PRIVATE LTD,Residential (Apartment),2018-11-24,2025-12-31,K-RERA/PRJ/236/2020,2021-04-23,80,72,Completed,Kozhikode,CHELAVUR,Kozhikode
OMG LIFESTYLES PHASE 3,OMG PROPERTIES,Villas (Plots & Buildings),2018-10-01,2023-06-10,K-RERA/PRJ/056/2021,2021-04-21,10,8,Completed,Palakkad,MARUTHUROAD,Palakkad
ELITE INSIGNIA PHASE 1,ELITE GARDENIA LLP,Residential (Apartment),2018-04-16,2022-10-31,K-RERA/PRJ/074/2020,2021-03-30,38,35,Completed,Thrissur,VIYYUR,Thrissur
ASSET TKM GRANDIOS STERLING,ASSETINDIA INFRAPROJECTS PRIVATE LIMITED,Residential (Apartment),2015-02-18,2021-09-30,K-RERA/PRJ/302/2020,2021-06-30,61,61,Completed,Kollam,KOLLAM EAST,Kollam
FREESIA,Confident Projects Residential,Residential (Apartment),2018-03-10,2022-09-10,K-RERA/PRJ/104/2020,2021-07-05,72,72,Completed,Ernakulam,THRIKKAKARA NORTH,Kanayannur
GRAND AQUA,KCC PROJECTS,Plots,2016-10-05,2022-06-30,K-RERA/PRJ/359/2020,2021-03-30,,4,Completed,Kottayam,PUTHUPPALLY KOTTAYAM,Kottayam
"LADDER THARAVAD, OTTAPPALAM",Kerala Land Reforms And Development Co operative Society Ltd No 4482,Residential (Apartment),2016-02-14,2021-06-30,K-RERA/PRJ/165/2020,2021-04-17,81,8,Completed,Palakkad,OTTAPALAM I,Ottappalam
Mathruka Luxury Flats,Mathruka Realtors Private Limited,Shops/Office Space (Commercial),2013-05-18,2021-06-30,K-RERA/PRJ/336/2020,2021-04-21,40,22,Completed,Kollam,KARUNAGAPPALLY,Karunagappally
DD MAJESTIC MOUNT,WEST WIND PROPERTIES KOCHI PRIVATE LIMITED,Residential (Apartment),2017-09-18,2023-09-30,K-RERA/PRJ/230/2020,2021-05-28,143,70,Completed,Kottayam,PERUMBAYIKKADU,Kottayam
REIGATE SERENITY,REIGATE BUILDERS PRIVATE LIMITED,Residential (Apartment),2021-02-10,2023-07-06,K-RERA/PRJ/323/2020,2021-03-30,27,27,Completed,Kozhikode,CHEVAYUR,Kozhikode
OMG SIGNATURE,OMG PROPERTIES PRIVATE LIMITED,Villas (Plots & Buildings),2019-11-11,2023-05-10,K-RERA/PRJ/233/2020,2021-04-22,64,56,Completed,Palakkad,VANIYAKULAM I,Ottappalam
ELITE SAMRUDDHI PHASE 1,ELITE GARDENIA LLP,Residential (Apartment),2019-10-11,2024-10-31,K-RERA/PRJ/075/2020,2021-03-30,65,64,Completed,Thiruvananthapuram,MENAMKULAM,THIRUVANANTHAPRUAM
JEWEL RADIUS,JEWEL HOMES PVT LTD,Residential (Apartment),2014-06-02,2023-04-21,K-RERA/PRJ/117/2021,2021-05-31,55,40,Inprogress,Ernakulam,VAZHAKKALA,Kanayannur
YASORAM ARL HEIGHTS,YASORAM BUILDERS PVT LTD,Residential (Apartment),2016-06-16,2022-12-31,K-RERA/PRJ/289/2020,2021-08-02,40,16,Completed,Ernakulam,ERNAKULAM,Kanayannur
OMG MAGNUS,OMG PROPERTIES PRIVATE LIMITED,Villas (Plots & Buildings),2019-12-31,2023-08-10,K-RERA/PRJ/282/2020,2021-04-27,10,8,Completed,Palakkad,VANIYAKULAM II,Ottappalam
HANCO THE GREEN VILLAGE,Hanco Property Developers Pvt Ltd,Residential (Apartment),2019-06-21,2028-10-01,K-RERA/PRJ/301/2020,2021-04-30,33,0,Inprogress,Palakkad,MATHUR II,ALATHUR
Olive Karenina,OLIVE BUILDERS,Mixed (Commercial & Residential),2017-01-06,2026-03-31,K-RERA/PRJ/352/2020,2021-09-22,55,13,Completed,Pathanamthitta,THIRUVALLA,Thiruvalla
VEEGALAND EXOTICA,VEEGALAND DEVELOPERS PRIVATE LIMITED,Residential (Apartment),2018-05-28,2022-12-31,K-RERA/PRJ/039/2020,2021-04-15,75,59,Completed,Ernakulam,EDAPPALLY NORTH,Kanayannur
REIGATE MARINA,REIGATE BUILDERS PRIVATE LIMITED,Residential (Apartment),2019-05-05,2022-09-27,K-RERA/PRJ/255/2020,2021-03-30,25,25,Completed,Kozhikode,KASABA,Kozhikode
BEACON FORTWINGS,Beacon Projects Pvt Ltd,Residential (Apartment),2018-10-20,2022-08-25,K-RERA/PRJ/228/2020,2021-07-10,15,14,Completed,Thiruvananthapuram,PETTAH,THIRUVANANTHAPRUAM
SREEROSH SPRINGDALE,SREEROSH DEVELOPERS PVT LTD,Residential (Apartment),2017-12-08,2021-06-30,K-RERA/PRJ/069/2020,2021-05-14,53,53,Completed,Kannur,PUZHATHI,Kannur
JEWEL PRISTINE GREENS,JEWEL HOMES PVT LTD,Residential (Apartment),2014-03-03,2026-07-15,K-RERA/PRJ/124/2021,2021-06-01,73,24,Inprogress,Ernakulam,THRIKKAKARA NORTH,Kanayannur
THE RAINBOW,ALIVE LIFESPACES,Villas (Plots & Buildings),2018-04-09,2021-09-30,K-RERA/PRJ/142/2020,2021-03-30,73,51,Completed,Thiruvananthapuram,VILAPPIL,KATTAKADA
CONDOR CYBER GARDENS IRIS,CONDOR BUILDERS PVT LTD,Residential (Apartment),2021-03-01,2026-02-27,K-RERA/PRJ/042/2021,2021-04-30,182,129,Completed,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
SAMRUDHI HOMES,OMG PROPERTIES PRIVATE LIMITED,Villas (Plots & Buildings),2020-10-05,2024-12-31,K-RERA/PRJ/107/2021,2021-04-23,6,0,Completed,Palakkad,KODUMBA,Palakkad
YASORAM DEVAKEEYAM,YASORAM BUILDERS PVT LTD,Residential (Apartment),2016-06-07,2023-12-31,K-RERA/PRJ/305/2020,2021-06-28,37,37,Completed,Ernakulam,NADAMA,Kanayannur
